matchId,t1Dragons,t2Dragons,t1Rift,t2Rift,topGoldDiff,jgGoldDiff,midGoldDiff,adcGoldDiff,suppGoldDiff,timePlay,winloss,top1,jug1,mid1,adc1,sp1,top2,jug2,mid2,adc2,sp2
NA1_4247439799,0,1,0,1,2005,64,297,-1056,-1631,2405,200,Yasuo,Hecarim,Viktor,Kaisa,Bard,Camille,Vi,Vladimir,Caitlyn,Morgana
NA1_4252883630,1,1,1,0,377,1283,1049,1099,910,1357,100,Renekton,Zac,Yasuo,Xayah,Thresh,Teemo,Kayn,Akshan,Lucian,Soraka
NA1_4243379502,1,1,0,0,4344,843,1081,-104,-795,1104,100,Garen,Lillia,Lissandra,Ashe,Nami,Jayce,Shaco,Galio,Caitlyn,Lux
NA1_4242590893,1,0,0,0,-2104,658,722,1072,330,1366,200,Irelia,Khazix,Zed,Jhin,Sona,Nasus,Hecarim,Kayle,MissFortune,Senna
NA1_4242862336,1,0,0,1,-2850,0,-870,-316,-1027,1495,200,Teemo,Sejuani,Akali,Tristana,Renata,Yorick,Diana,TwistedFate,MissFortune,Galio
NA1_4240266307,2,0,1,0,1132,412,-217,-775,1000,1884,100,Garen,Zac,Ashe,Yasuo,Swain,Sett,Graves,Viktor,Zeri,Nautilus
NA1_4236446381,0,2,1,0,-1879,26,-411,-281,-898,1900,200,DrMundo,MasterYi,Viktor,Jhin,Sona,Akshan,Zed,Lissandra,Ezreal,Vex
NA1_4251247947,0,1,0,0,355,1436,281,-890,-667,1994,200,Irelia,Kayn,Annie,Aphelios,Karma,Sion,Shaco,Ahri,Caitlyn,Swain
NA1_4253930131,0,2,0,0,0,0,0,0,0,836,200,Yorick,Rammus,Katarina,Jhin,Nautilus,Darius,Sejuani,Fizz,Tristana,Galio
NA1_4253945561,0,2,1,0,682,-1102,110,-3376,-935,916,200,TahmKench,LeeSin,Vex,Jinx,Pyke,Warwick,Viego,Fizz,Zeri,Morgana
NA1_4236910804,1,0,1,0,65,3108,1166,1077,967,1520,100,Garen,Udyr,Azir,Jhin,Leona,Illaoi,Graves,Ekko,Caitlyn,Janna
NA1_4253519785,2,0,0,0,3289,-1273,-466,2012,272,2283,100,Irelia,Sejuani,Akali,Zeri,Soraka,Jayce,Hecarim,Sylas,Kaisa,Brand
NA1_4237408578,1,0,1,0,2117,1787,865,1131,-722,1563,100,Fiora,MasterYi,Ahri,Draven,Blitzcrank,MonkeyKing,Qiyana,Annie,Jhin,Xerath
NA1_4251094662,2,0,1,0,1143,723,-945,1114,2239,2151,100,Yorick,DrMundo,Kaisa,Jhin,Twitch,Chogath,Khazix,Lux,Soraka,Sona
