matchId,t1Dragons,t2Dragons,t1Rift,t2Rift,topGoldDiff,jgGoldDiff,midGoldDiff,adcGoldDiff,suppGoldDiff,t1TopTowerTaken,t1MidTowerTaken,t1BotTowerTaken,t2TopTowerTaken,t2MidTowerTaken,t2BotTowerTaken,gameLength,winningTeam,team1Top,team1Jg,team1Mid,team1Adc,team1Supp,team2Top,team2Jg,team2Mid,team2Adc,team2Supp
NA1_4237404647,0,1,0,1,1675,637,1880,-2807,-2226,0,0,0,0,0,0,2021,100,Gnar,Sion,Viktor,Zeri,Blitzcrank,Vayne,Nocturne,Swain,Samira,Taliyah
NA1_4250062442,2,0,0,1,-2078,1902,1021,1899,704,0,0,0,0,0,0,1917,100,Sett,Vi,Soraka,Ezreal,Karma,Vayne,Kayn,Vex,Jinx,Lux
NA1_4240572341,0,2,0,1,-1039,-246,-2163,-1743,-2124,2,0,1,0,0,0,1531,200,Darius,MasterYi,Malzahar,Jhin,Morgana,Yorick,Udyr,Fizz,MissFortune,Senna
NA1_4238763504,2,0,0,0,-1738,-901,543,-1908,-869,0,0,0,0,0,0,1314,200,Darius,Karthus,Lucian,Jinx,Brand,Renekton,Viego,Viktor,Vayne,Velkoz
NA1_4253149891,0,1,1,0,-259,-1999,-1048,340,642,0,0,0,0,0,0,1593,200,Shen,Chogath,Yone,Caitlyn,Lissandra,Volibear,Kindred,Ryze,Seraphine,Leblanc
NA1_4256136559,0,1,1,0,1152,400,-1934,326,-926,0,0,0,1,0,0,1912,200,Yorick,Diana,Pantheon,Samira,Galio,Kennen,Warwick,Lucian,Jhin,Anivia
NA1_4256408963,2,0,1,0,1018,1376,774,2248,881,0,0,0,0,0,1,1352,100,Sion,Diana,Yasuo,Ezreal,Senna,Karma,Hecarim,Malzahar,Jhin,Renata
NA1_4243358235,1,0,1,0,-3634,-225,-3365,1106,-1678,1,1,0,0,0,0,1117,200,Garen,Olaf,Renekton,Tristana,Nautilus,Tryndamere,Lillia,Kassadin,Ezreal,Brand
NA1_4251777357,1,1,0,1,-3300,-1428,-1577,-75,513,2,0,0,0,0,0,2462,100,Teemo,Ekko,Yasuo,Jinx,Yuumi,Sett,Warwick,Zed,Lucian,Lux
NA1_4254631796,1,0,0,0,809,1465,1524,1180,-532,0,0,0,0,0,0,1714,100,Gnar,Amumu,Zed,Samira,Alistar,Jayce,Shaco,Viktor,Brand,Swain
NA1_4250780101,1,1,0,1,-979,685,-2051,205,504,0,0,0,0,0,0,1766,200,Garen,Vi,Cassiopeia,Xayah,Rakan,Camille,Zac,Yasuo,Vayne,Nautilus
NA1_4248555139,0,1,1,0,4078,-595,-5371,-245,-1629,0,1,1,2,0,0,1653,200,Trundle,JarvanIV,Kaisa,Ezreal,Karma,Chogath,Nunu,Tryndamere,Aphelios,Senna
NA1_4237219116,0,2,0,1,592,57,-26,-623,-977,0,1,0,0,0,0,1790,200,Riven,Kayn,Yone,Xayah,Leona,Mordekaiser,MasterYi,Yasuo,Tristana,Annie
NA1_4244583208,1,1,0,1,433,-947,-2232,1429,-1963,0,0,2,0,0,0,1899,100,Darius,LeeSin,Azir,Vayne,Nautilus,Nasus,Viego,Katarina,Lucian,Senna
NA1_4256565677,0,1,0,0,2287,3016,-5,-1659,-805,0,0,0,1,0,0,1339,100,Tryndamere,Viego,Ahri,Swain,Maokai,Aatrox,Rengar,Veigar,KogMaw,Nami
NA1_4249005127,1,0,0,0,-4800,-132,858,138,-125,1,0,0,0,0,0,1479,200,Quinn,Graves,Akali,Kaisa,Ornn,Aatrox,Rumble,Viktor,Aphelios,Lulu
NA1_4242424156,0,2,1,0,267,635,339,2023,426,0,0,0,0,0,1,2128,200,Gangplank,Trundle,Lucian,MissFortune,Karma,Teemo,Khazix,Ahri,Vayne,Leona
NA1_4240369406,0,2,1,0,693,416,-444,141,-1983,0,0,0,0,0,0,1882,100,Illaoi,Viego,Viktor,Draven,Alistar,Aatrox,Hecarim,Veigar,Varus,Nautilus
NA1_4251395315,2,0,0,0,-250,-248,1300,-235,-167,0,0,0,0,0,0,2656,100,Tryndamere,Zed,Warwick,MissFortune,Morgana,Ornn,Karthus,Ekko,Ezreal,Nami
NA1_4259851266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,200,Sion,Trundle,Ezreal,Morgana,Garen,Volibear,Ekko,Zeri,Taliyah,
NA1_4244533470,2,0,0,1,1156,-431,2387,-764,365,0,0,0,0,0,0,1665,100,Teemo,Hecarim,Katarina,Ezreal,Pyke,Corki,Viego,Sett,Vayne,Rell
NA1_4242384721,0,0,0,0,-514,406,-371,-1335,-670,0,0,1,0,0,0,1624,200,Tryndamere,Evelynn,Viktor,Jinx,Senna,Jax,Shaco,Akali,Sivir,Zyra
NA1_4252642115,0,1,1,0,-200,868,1754,-2751,-1999,0,0,1,0,0,0,1526,100,Graves,Khazix,Irelia,Jinx,Lulu,Jayce,Kayn,Leblanc,Ezreal,Seraphine
NA1_4252547821,1,1,1,0,1792,-73,2986,184,360,0,0,0,0,0,0,1316,100,Akali,Nocturne,Anivia,Ashe,Leona,Garen,Viego,Varus,Caitlyn,Blitzcrank
NA1_4245581234,0,1,1,0,-2618,434,-361,2114,-63,0,1,0,0,0,1,2087,100,Kayle,Evelynn,Katarina,Vayne,Pantheon,Gangplank,Lillia,Neeko,Jhin,Senna
NA1_4243330197,1,1,0,1,-3478,-3038,-3176,-1203,-1024,1,1,2,0,0,0,1220,200,Nasus,Nocturne,Syndra,Vayne,Nautilus,Tryndamere,Skarner,Draven,Veigar,Blitzcrank
NA1_4252491826,0,1,0,1,-2718,-719,-2428,-2766,-1957,1,2,1,0,0,0,1301,200,Kled,Nocturne,Qiyana,Cassiopeia,Nami,Jayce,Hecarim,Syndra,Jhin,Lux
NA1_4257900086,1,0,0,1,-893,2914,231,-666,-822,1,0,0,0,0,0,1638,100,Jayce,Kayn,Annie,Kaisa,Nautilus,Chogath,Qiyana,Malzahar,Jhin,Xerath
NA1_4237305551,1,1,0,1,-1352,448,1475,1681,440,0,0,0,0,0,0,1849,100,Teemo,Volibear,Lux,Tristana,Soraka,Fiora,MasterYi,Viktor,Jhin,Sona
NA1_4240438648,0,1,1,0,-2005,614,-1593,91,1459,1,1,0,0,0,0,1699,200,Urgot,Rengar,Katarina,Draven,Thresh,Illaoi,Nidalee,Yasuo,Jinx,Nautilus
NA1_4258007407,0,2,0,1,-945,-1938,677,-770,-2375,0,0,1,0,0,0,1403,200,Malphite,Kayn,Lissandra,Caitlyn,Soraka,Teemo,Graves,Sion,Zeri,Senna
NA1_4246550266,0,1,1,0,-689,-328,2485,-1376,1235,0,0,0,0,1,0,1631,200,Nasus,Gwen,Mordekaiser,Jhin,Anivia,Sylas,Trundle,Irelia,Samira,Sona
NA1_4244600525,0,2,1,0,2925,1392,-491,-178,-716,0,0,0,1,0,0,2344,200,Sett,FiddleSticks,Vex,Jinx,Blitzcrank,Ornn,Viego,Heimerdinger,Ziggs,Lux
NA1_4252968167,1,0,0,1,-1956,1323,28,-1115,652,1,0,0,0,0,0,2015,100,Ornn,LeeSin,Katarina,Aphelios,Morgana,Jax,Hecarim,Teemo,Draven,Alistar
NA1_4257180901,1,1,0,0,1273,474,593,-2886,-1389,0,0,1,0,0,0,2344,100,Ornn,Viego,Veigar,Jhin,Nami,Camille,Zac,Viktor,Vayne,Zyra
NA1_4250439895,1,1,0,1,159,-91,-2565,-2972,586,0,3,1,0,0,0,1839,200,Sylas,Karthus,Pantheon,Aphelios,Senna,DrMundo,Diana,Yone,Zeri,Thresh
NA1_4245557488,1,0,0,1,-1559,636,838,-967,-75,1,0,0,0,0,0,2036,200,Garen,MasterYi,Veigar,Samira,Nautilus,Yone,Karthus,Katarina,Kaisa,Blitzcrank
NA1_4248666260,0,1,0,1,1405,1369,-1683,-372,-1171,0,0,0,0,0,0,1843,100,Gangplank,Lillia,Yone,Vayne,Nautilus,Sett,Zac,Kayle,Ashe,Blitzcrank
NA1_4251569803,1,0,0,1,2161,-774,-919,3472,1073,0,0,0,1,0,2,1661,100,Riven,Diana,Zoe,Jinx,Thresh,Singed,LeeSin,Azir,MissFortune,Morgana
NA1_4247199356,1,0,0,1,1103,1596,-483,231,195,0,0,0,0,0,0,1469,100,Gwen,Ekko,Yasuo,Jhin,TahmKench,Aatrox,XinZhao,Ahri,Varus,Thresh
NA1_4248278754,0,2,1,0,-681,-591,1288,-1988,-100,0,0,1,1,0,0,1348,200,Garen,Viego,Katarina,Vayne,Bard,Volibear,Warwick,Lissandra,Jinx,Nautilus
NA1_4254576680,0,1,0,0,-3842,121,278,-892,-793,1,0,0,0,0,0,1780,200,Jax,Diana,Malzahar,Caitlyn,Malphite,Gangplank,Yone,Velkoz,Ezreal,Brand
NA1_4258132181,0,1,1,0,429,-2091,1885,-1012,217,0,0,0,1,0,0,1859,200,Kayle,Amumu,Azir,Kaisa,Xerath,Aatrox,Hecarim,Vladimir,KogMaw,Yuumi
NA1_4255336421,1,0,1,0,2249,1327,1001,-1274,679,0,0,1,0,1,0,1377,100,Corki,Hecarim,Kayle,Ashe,Pyke,Quinn,Zac,Zilean,Zeri,Blitzcrank
NA1_4252597484,0,2,0,1,1510,-390,-841,-399,-609,0,1,0,0,0,0,1741,200,Veigar,Kayn,Kayle,Ezreal,Soraka,Garen,Poppy,Ryze,MissFortune,Lux
NA1_4237284361,1,1,1,0,678,688,1020,864,668,0,0,0,0,1,0,1435,100,Jayce,DrMundo,Singed,Twitch,Rakan,Kassadin,Rengar,Malphite,Jinx,Lulu
NA1_4259155489,0,1,1,0,2931,655,183,1868,1215,0,0,0,1,0,1,1432,100,Mordekaiser,Diana,Malphite,Jinx,Zyra,Renekton,Kindred,Katarina,Vayne,TahmKench
NA1_4247831026,0,2,0,1,-1331,-1528,-1595,613,-927,1,1,0,0,0,0,1383,200,Camille,Khazix,Kaisa,Jinx,Nami,Sett,Nunu,Anivia,Ezreal,Lux
NA1_4244772211,1,1,0,0,2867,905,-54,-1488,1169,0,0,0,1,0,0,1887,100,Darius,Nocturne,Yone,Lucian,Pyke,Fiora,Kayn,Brand,Tristana,Lux
NA1_4254307793,1,0,1,0,604,2411,-46,217,671,0,0,0,1,0,0,2413,100,Yorick,RekSai,Zed,Jhin,Karma,Ekko,Rammus,Akali,MissFortune,Morgana
