t1Dragons,t2Dragons,t1Rift,t2Rift,topGoldDiff,jgGoldDiff,midGoldDiff,adcGoldDiff,suppGoldDiff
1,0,0,1,-306,348,493,-1724,-596
1,0,0,0,500,569,-950,3026,129
1,1,0,0,331,2025,15,847,935
1,1,0,1,2964,-82,-2176,676,-48
0,2,0,1,1832,-1606,-259,-234,33
1,1,0,1,-1959,-953,100,1190,-192
0,1,1,0,2148,1204,-1255,-1939,-866
2,0,0,1,-1194,774,-437,-1109,-136
1,1,0,1,-207,-750,-2144,-742,-735
2,0,1,0,1409,2719,2739,3035,1771
0,1,1,0,1011,1233,992,-5,-297
1,1,0,1,-1805,1753,67,151,47
0,2,0,0,533,-1364,1254,-382,-419
1,1,1,0,-89,-404,818,777,885
1,0,1,0,2042,520,-115,233,186
1,1,0,0,228,-803,-335,-584,775
0,2,1,0,769,-591,541,851,279
1,1,0,0,478,-91,325,488,-790
1,1,1,0,599,-1038,-1398,-632,271
0,2,0,1,69,-1272,-457,-908,659
0,2,0,1,2462,-1276,-1577,-2169,-1376
1,1,1,0,-1991,43,-889,259,-821
1,1,0,1,-3751,-1650,1028,342,11
1,0,0,1,1335,1860,605,2379,950
1,0,0,1,1206,-337,-403,157,678
0,2,0,1,-1773,-2809,282,-252,-965
0,1,0,1,-1575,1094,-3469,-1974,-526
1,1,1,0,1447,-1206,12,-372,-750
0,1,1,0,2426,-2618,2653,-2391,-1335
0,2,0,1,2428,517,321,2812,408
2,0,1,0,816,2075,2582,303,-198
2,0,1,0,2982,357,2505,3187,141
1,0,0,0,-1540,-85,32,2290,-223
1,0,0,0,1039,-1813,464,-2652,124
0,2,1,0,-573,-534,534,456,283
1,0,0,1,943,-308,-445,118,-353
0,2,0,1,-2579,-2817,-2355,-1395,-762
2,0,0,1,-669,1464,294,-813,1114
1,0,0,1,-198,799,213,-1269,572
2,0,1,0,1145,2520,-21,269,2269
0,1,1,0,1252,-934,-301,-1394,-2431
0,2,0,1,650,-1238,-294,1018,1107
1,0,0,1,41,1178,1586,1049,-905
0,1,0,0,-884,-3573,400,1578,-277
1,0,1,0,-416,95,1185,-2851,-1476
1,1,0,1,372,-654,94,1991,2691
1,0,0,1,-2328,-1540,156,-2664,-774
2,0,1,0,282,-123,1413,-867,983
1,0,0,1,-165,-568,-864,-422,257
0,2,0,1,-1103,-1173,-63,-1681,-376
1,0,0,1,-449,-91,1823,2781,538
2,0,1,0,-320,-1158,-1171,2547,1979
1,1,1,0,2621,34,-215,-1062,-504
1,0,1,0,-71,535,2512,339,-159
1,0,0,0,2529,-1018,-1803,-1712,224
1,0,1,0,298,1635,2096,643,1141
1,0,1,0,277,504,1157,1351,931
0,1,0,1,719,585,-106,-652,-382
2,0,0,0,-1053,1237,4062,1198,820
0,1,0,0,-1357,-510,2472,-2335,-745
0,0,0,1,2559,720,-1973,-1451,-418
0,2,0,1,-602,144,779,520,969
2,0,1,0,316,1232,1220,551,939
0,0,1,0,709,336,1904,-20,527
2,0,1,0,3747,2157,876,907,1383
0,1,0,1,-2381,874,2846,-387,-134
